Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity),Comment,Comment,Comment
서버로부터 받아오는 리스트객체를 클래스로 받아서 뿌리는 것으로 함

 ;26/Aug/17 5:42 PM;jslim;14400","-list output 완성

-주간계획서,일일계획서

일일계획서 클릭시 승인된 보고서가 있을경우 보고서 상세보기로 이동

주간계획서 ,일일계획서 데이터 받아오기

-스피너 클릭으로 연결된 리스트에서 output전부 가능

각 보고서 및 계획서별 정보 받아오기 가능

(계획서와 보고서가 서로 연결될 경우 받아오는 인텐트 파라미터는 리스트에서 들어올 경우의 인텐트 파라미터와 다름);29/Aug/17 7:03 PM;jslim;28800","마이홈과 리스트 연결 

리스트 목록 가져와 스크롤

스크롤이 바닥에 닿을 경우 목록 재요청;01/Sep/17 9:35 PM;jslim;28800","리스트 완성 

오류수정

권한별 스피너 생성

새로고침

스크롤 오류 수정;27/Sep/17 6:37 PM;jslim;144000",;14/Oct/17 6:33 PM;jslim;86400,,,,,,115200,0,313200,271%,115200,0,313200,,,상,,,,,,,,01/Sep/17 7:00 PM,29/Aug/17 10:00 AM,,,,,,,,,,,25/Aug/17 7:33 PM;jslim;  ,"14/Oct/17 6:33 PM;jslim;테스트 후 버스 수정

스피너,새로고침 버그 수정

 ",
[Android] 일일보고서,SMS-13,10926,Task,Verifying,SMS,SMS,software,sgyang,,,A,,jslim,sgyang,sgyang,11/Aug/17 8:06 PM,09/Sep/17 5:47 PM,19/Oct/17 3:37 PM,,01/Sep/17 12:00 AM,0,"*목표*
 * 일일 업무보고서 부분 구현 (팀장 승인 , 커멘트, 첨부파일)

*진행계획*
 * 사용자로 부터 데이터를 입력을 받음
 * 입력 받은 데이터를 (edittext) 기본 검증 진행 ( validator 검증 )
 * 네이티브 검증이 성공이면 다음 화면으로 전환 (이때 Background 통신 진행)
 * Rest 서버에 데이터 요청을 진행 ( Rest Api 규약을 정하여 파라미터로 전달)
 * Respone 받은 json 을 파싱해서 데이터를 추출
 * 성공 여부를 확인 후 성공시 다음 화면으로 전달
 * 실패시 popup을 띄워서 사용자에게 알림.
 * *첨부파일은 multipart/form-data 형식으로 전달*
 * *전송시 최대 업로드 크기를 300MB로 지정*
 * *파일 전송시 byte 의 크기를 확인해서 progress bar를 생성 (progress bar가 없이 app이 멈춰있으면 사용자가  성공여부를 알수가 없음)*
 * *팀장 승인 여부를 확인하고 상태 변수에 저장하여 버튼 활성화 비활성화 진행 (UI상 안보이게 처리)*",,jslim,sgyang,"일일보고서 UI 기본 완성

통신 : 

사용자 기본정보 가져오기

주간계획서 월~금 날짜기능 완성

주간보고서 작성날짜 기준으로 다음주의 월~금의 날짜를 구해옴

주간보고서는 무조건 해당주 전에 완성해야함

일일보고서 작성시 미리 작성해둔 주간보고서안에 해당날짜 검색 -> 당일 목표매출액 가져옴;18/Aug/17 6:39 PM;jslim;28800","목표액 달성, 주행거리 계산 완료

editText의 입력을 받아 실시간으로 계산 : TextWatcher 인터페이스 이용

달성율은 소수점아래 2번째까지 나타내고 주행거리는 첫번째까지

첨부파일의 경우 앨범/상담일지 스피너 구현

*스피너경우 디폴트값이 잡히는데 아무것도 안잡히게는 못하는지 ?

스피너의 앨범선택시 디바이스 갤러리 호출

사진선택부터 어떻게 저장할지 생각해야함

 ;21/Aug/17 7:19 PM;jslim;28800","앨범호출 완료

첨부파일 스피너 클릭-상담일지

리스트완성 :

리스트뷰 액티비티를 새로만들어 어댑터클래스를 이용하여 개별적 리스트 액티비티 생성

          일일보고서 액티비티에서 상담일지목록 클릭시 서버로부터 상담일지 목록 정보를 받아옴

받아온 정보를 리스트로 인텐트발생(리스트 넘김)

           생성된 리스트액티비티에서 리스트 엑스트라 받아와 화면에 뿌림

 ;22/Aug/17 7:03 PM;jslim;28800","일일보고서 상세보기 : 연결된 상담일지 리스트 가져오기

서로 연결된 상담일지와 일일보고서는 링크가 걸려있음

코멘트 추가후 액티비티 갱신 방법 수정

인텐트이용 이전액티비티 종료 ->onResume()이용, 수정;01/Sep/17 9:34 PM;jslim;14400","일일보고서 작성시 첨부파일 및 상담일지 첨부

수정:첨부파일 ,상담일지 추가 및 삭제 수정

삭제 : 연결된 첨부파일 및 상담일지 모두 삭제

권한별 뷰 처리;09/Sep/17 5:47 PM;jslim;86400",,,,,,,115200,0,187200,162%,115200,0,187200,,,상,,,,,,,,28/Aug/17 7:00 PM,23/Aug/17 10:00 AM,,,,,,,,,,,18/Aug/17 6:38 PM;jslim;   ,09/Sep/17 5:47 PM;jslim;     ,
[Android] 주간일지,SMS-12,10925,Task,Verifying,SMS,SMS,software,sgyang,,,Top,,jslim,sgyang,sgyang,11/Aug/17 7:59 PM,09/Sep/17 5:47 PM,19/Oct/17 3:36 PM,,25/Aug/17 12:00 AM,0,"*목표*
 * 주간일지 입력 부분 구현

*진행계획*
 * 사용자로 부터 데이터를 입력을 받음
 * 입력 받은 데이터를 (edittext) 기본 검증 진행 ( validator 검증 )
 * 네이티브 검증이 성공이면 다음 화면으로 전환 (이때 Background 통신 진행)
 * Rest 서버에 데이터 요청을 진행 ( Rest Api 규약을 정하여 파라미터로 전달)
 * Respone 받은 json 을 파싱해서 데이터를 추출
 * 성공 여부를 확인 후 성공시 다음 화면으로 전달
 * 실패시 popup을 띄워서 사용자에게 알림.",,jslim,sgyang,;17/Aug/17 6:34 PM;jslim;28800,"주간계획서 월~금 날짜기능 완성

주간보고서 작성날짜 기준으로 다음주의 월~금의 날짜를 구해옴

주간보고서는 무조건 해당주 전에 완성해야함

일일보고서 작성시 미리 작성해둔 주간보고서안에 해당날짜 검색 -> 당일 목표매출액 가져옴

 

+공통 커스텀다이얼로그 버튼해결 필요;18/Aug/17 6:37 PM;jslim;10800",주간일지 상세보기 및 수정;09/Sep/17 5:45 PM;jslim;28800,,,,,,,,,57600,0,68400,118%,57600,0,68400,,,중,,,,,,,,22/Aug/17 7:00 PM,21/Aug/17 10:00 AM,,,,,,,,,,,"17/Aug/17 6:34 PM;jslim;주간계획서안의 일일계획을 객체로 생성

GSON을 이용해 일일계획 객체를 JSON으로 바꾸어 전송

매출액과 목표액달성비율을 포함한 10개의 파람을 넘기는데 두 파람은 차후 수정

일일계획의 날짜 부분은 캘린더부분 완성후 캘린더 라이브러리를 사용하여 수정할 계획",09/Sep/17 5:47 PM;jslim;             ,
[Android] 상담일지,SMS-11,10924,Task,Verifying,SMS,SMS,software,sgyang,,,A,,jslim,sgyang,sgyang,11/Aug/17 6:58 PM,09/Sep/17 5:48 PM,19/Oct/17 3:37 PM,,18/Aug/17 12:00 AM,0,"*목표*
 * 상담일지 입력 부분 구현
 * 주간일지 UI 구현
 * 일일 업무 보고서 UI 구현

 

*진행계획*
 * 사용자로 부터 데이터를 입력을 받음
 * 입력 받은 데이터를 (edittext) 기본 검증 진행 ( validator 검증 )
 * 네이티브 검증이 성공이면 다음 화면으로 전환 (이때 Background 통신 진행)
 * Rest 서버에 데이터 요청을 진행 ( Rest Api 규약을 정하여 파라미터로 전달)
 * Respone 받은 json 을 파싱해서 데이터를 추출
 * 성공 여부를 확인 후 성공시 다음 화면으로 전달
 * 실패시 popup을 띄워서 사용자에게 알림.
 * 주간일지 UI를 구현
 * 일일 업무 보고서 UI 구현",,jslim,sgyang,"기본 UI 제작

유저 정보, 거래처 정보 받기

스피너 구현

상담내역,제목등 전송;16/Aug/17 6:17 PM;jslim;28800","output완성 

연결된 일일보고서 버튼 링크 -연결

개인 정보와 1,2차 고객정보 제대로 연결;01/Sep/17 9:37 PM;jslim;28800","상담일지 상세보기,수정,삭제 등 

상담일지 리스트 : 일일보고서와 연결되지 않은것 한해서 보여줌;09/Sep/17 5:48 PM;jslim;28800",,,,,,,,,86400,0,86400,100%,86400,0,86400,,,중,,,,,,,,18/Aug/17 7:00 PM,16/Aug/17 10:00 AM,,,,,,,,,,,16/Aug/17 6:16 PM;jslim;  ,09/Sep/17 5:48 PM;jslim;          ,
[Node] 캘린더 기능,SMS-10,10922,Task,Verifying,SMS,SMS,software,sgyang,,,A,,shmoon,sgyang,sgyang,11/Aug/17 6:28 PM,13/Oct/17 7:53 PM,19/Oct/17 3:37 PM,,15/Sep/17 12:00 AM,0,"*목표*
 * 안드로이드와 협업하여 캘린더 기능 구현

*진행계획*
 * 토큰으로 사용자 검증
 * 안드로이드로 부터 받은 파라미터로 캘린더 데이터 반환

 

안드로이드로부터 파라미터로 데이터를 받아서 ()

 DB로 부터 데이터 값을 추출후 Json 데이터로 반환

SQL 오류등이 있는경우 상태 값을 json 데이터 형식으로 반환.",,sgyang,shmoon,완성;19/Sep/17 10:38 AM;shmoon;28800,,,,,,,,,,,144000,115200,28800,20%,144000,115200,28800,,,상,,,,,,,,15/Sep/17 7:00 PM,11/Sep/17 10:00 AM,,,,,,,,,,,"19/Sep/17 10:34 AM;shmoon;캘린더 api 완성

팀장용 : 팀원의 일일보고서들 미승인 제외 전부 볼 수 있음

개인용 : 주간계획서 및 일일보고서 보기",13/Oct/17 7:53 PM;shmoon;캘린더 api 완성 주간계획 및 일일보고서 데이터 출력 할 수 있도록 개발,
[Node] 그래프 기능,SMS-9,10921,Task,Verifying,SMS,SMS,software,sgyang,,,A,,shmoon,sgyang,sgyang,11/Aug/17 6:12 PM,19/Sep/17 10:37 AM,19/Oct/17 3:37 PM,,08/Sep/17 12:00 AM,0,"*목표*
 * 안드로이드와 협업하여 통계 기능 구현

*진행계획*
 * 토큰 유저 검증
 * 안드로이드로 받은 파라미터로  통계 자료 검색 및 반환
 * 안드로이드로 받은 파라미터로 예측 통계 기능 구현

 

안드로이드로 부터 받은 파라미터를 기준으로 (매니저 , 지점별)

데이터를 DB로 부터 받아와서 Json 데이터 형식으로 반환

예측통계는 예측 알고리즘을 사용하여 (알고리즘 구현 필수)

Json 형식으로 데이터를 반환 만약 데이터가 없는 경우 

상태를 json 형식으로 반환",,sgyang,shmoon,"연도(월별) 월별(주간별)

그래프 데이터 출력 일일보고서 기준으로 승인된 일지의 매출목표액 매출액 데이터 출력

이동 총 거리 출력

팀장은 팀원전체의 평균값 보기 가능 또는 팀 개인의 총계 데이터 출력

개인은 자신의 데이터만 출력 가능;19/Sep/17 10:37 AM;shmoon;57600",,,,,,,,,,,144000,86400,57600,40%,144000,86400,57600,,,상,,,,,,,,08/Sep/17 7:00 PM,04/Sep/17 10:00 AM,,,,,,,,,,,"19/Sep/17 10:36 AM;shmoon;연도(월별) 월별(주간별)

그래프 데이터 출력 일일보고서 기준으로 승인된 일지의 매출목표액 매출액 데이터 출력

이동 총 거리 출력

팀장은 팀원전체의 평균값 보기 가능 또는 팀 개인의 총계 데이터 출력

개인은 자신의 데이터만 출력 가능",19/Sep/17 10:36 AM;shmoon;완성,
[Node] 첨부파일 기능,SMS-8,10920,Task,Verifying,SMS,SMS,software,sgyang,,,A,,shmoon,sgyang,sgyang,11/Aug/17 5:34 PM,19/Sep/17 10:39 AM,19/Oct/17 3:37 PM,,01/Sep/17 12:00 AM,0,"*목표*
 * 안드로이드와 협업하여 첨부파일 업로드 기능 구현

*진행계획*
 * 토큰을 전달 받아 검증
 * 안드로이드로 부터 첨부파일을 받아서 업로딩
 * 성공, 실패 여부를 반환

 

안드로이드로 부터 첨부파일을 전달 받을수 있는 최고 크기를 (300MB) 를 기준으로 한다.

안드로이드로 부터 multipart/form-data 형식으로 받은 경우

300mb보다 용량이 적은 경우 하드디스크에 (메모리에 할당하지 않고 ) 

데이터를 바로 쓰게 한다. (메모리에 담아두면 out of memory 에러 발생)

 

첨부파일이 업로드중 깨진경우 (안드로이드 측의 네트워크 문제 등등..)

첨부파일 업로드 실패를 알리고 db에 업로드된 첨부파일의 이름을 삭제 한다.

 

깨진 파일은 서버 스크립트를 통하여 (Crontab) 주기적으로 db와 비교하여 삭제한다.",,sgyang,shmoon,"첨부파일 기능 서버단에서 테스트 완료

다운로드 기능 서버단에서 테스트 완료;17/Aug/17 6:23 PM;shmoon;28800","추가작업

일일보고서가 만들어진 후 첨부파일 업로드 가능하도록 변경

첨부파일 업로드 리스트가 있고 한번에 최대 5개로 제한해서 비동기통신으로 서버에 업로드

업로드 리스트에서 자신이 선택한 파일을 확인 가능

 ;19/Sep/17 10:38 AM;shmoon;28800",,,,,,,,,,115200,57600,57600,50%,115200,57600,57600,,,상,,,,,,,,01/Sep/17 7:00 PM,29/Aug/17 10:00 AM,,,,,,,,,,,17/Aug/17 10:08 AM;shmoon;리스팅 개발 전에 첨부파일 부분 선행 (입력 기능 개발과 함께하는게 낫다고 판단),17/Aug/17 6:25 PM;shmoon;안드로이드와 테스트 필요,09/Sep/17 9:13 AM;shmoon;웹과 파일서버 협의 필요
[Node] 계획서 리스트 기능,SMS-7,10919,Task,Verifying,SMS,SMS,software,sgyang,,,A,,shmoon,sgyang,sgyang,11/Aug/17 5:18 PM,09/Sep/17 9:12 AM,19/Oct/17 3:37 PM,,01/Sep/17 12:00 AM,0,"*목표*
 * 안드로이드와 협업하여 리스트 페이지 구현

*진행계획*
 * 요청시 토큰 값 검증
 * 안드로이드로 부터 전달 받은 파라메타를 사용하여 관련 데이터 반환
 * start , limit , search , team , user, type 등을 제공

 

데이터 전달 방식은 Rest api로 GET 방식을 사용한다.

토큰 값을 검증하고 실패시 실패되었다는 상태를 json으로 반환한다.

토큰 검증에 성공시 아래와 같은 작업을 진행한다.

EX > [http://www.localhost.com/rest/?search=]검색 내용 &start=5&limit=10

위 예제 처럼 파라미터 양식을 제공하여 안드로이드로 부터 데이터를 전달 받고

받은 데이터를 기준으로 검색된 sql 데이터를 json 데이터 형식으로 반환

 ",,sgyang,shmoon,,,,,,,,,,,,115200,115200,,0%,115200,115200,,,,중,,,,,,,,28/Aug/17 7:00 PM,23/Aug/17 10:00 AM,,,,,,,,,,,"18/Aug/17 6:27 PM;shmoon;리스팅 작업 서버사이드 테스트 중

상세보기 제외 팀장 스피너로 검색 기능 개발 완료 (서버사이드 테스트)",09/Sep/17 9:12 AM;shmoon;리스트 api 개발완료 ,
[Node] 계획서 작성 입력,SMS-6,10918,Task,Verifying,SMS,SMS,software,sgyang,,,A,,shmoon,sgyang,sgyang,11/Aug/17 4:58 PM,09/Sep/17 9:13 AM,19/Oct/17 3:37 PM,,18/Aug/17 12:00 AM,0,"*목표*
 * *안드로이드와 협업하여 계획서 데이터를 입력*

*진행계획*
 * 모든 요청시 토큰 값 검증 (웹 보안)
 * 주간 계획서 데이터 입력
 * 일일 업무 보고서 데이터 입력
 * 상담 일지 데이터 입력 

 

데이터 전달 방식은 Rest api로 Post 방식을 사용한다.

토큰 검증 실패시 안드로이드에 실패되었다는 상태를 json 데이터 형식으로 전달

토큰 검증에 성공하면 insert 작업을 검증하고 진행 

작업을 진행 후 성공 , 실패 상태를 json 형식으로 안드로이드에 전달.",,sgyang,shmoon,"로그인 토큰 발행, mysql 연동

프로필 정보 출력, 프로필 정보 변경(비밀번호)

input 기능 개발(상담일지, 주간계획, 일일보고서);16/Aug/17 6:54 PM;shmoon;144000",,,,,,,,,,,144000,28800,144000,100%,144000,28800,144000,,,하,,,,,,데이터 입력 기능 개발,,18/Aug/17 7:00 PM,16/Aug/17 10:00 AM,,,,,,,,,,,11/Aug/17 6:06 PM;shmoon;주간계획서 작성 개발 완료(서버단에서),09/Sep/17 9:13 AM;shmoon;작성개발 완료,
