Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity),Comment,Comment,Comment,Comment
[ToDo] 문성훈 10/13(금),FG-127,11115,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,13/Oct/17 9:52 AM,13/Oct/17 8:15 PM,13/Oct/17 8:15 PM,,,0,"발표자료 영상 녹화

발표자료 완성

버그테스트

 ",,shmoon,"발표자료 수정

영상 촬영

aws 노드 세팅 테스트 성공

빌드서버 노드 세팅 최종 완료;13/Oct/17 7:52 PM;shmoon;28800",,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"13/Oct/17 7:55 PM;shmoon;[~shmoon] logged work - 13/Oct/17 10:00 PM
 * Time Spent:1 day 발표자료 수정

영상 촬영

aws 노드 세팅 테스트 성공

빌드서버 노드 세팅 최종 완료",,,
[ToDo] 문성훈 10/12(목),FG-126,11114,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,12/Oct/17 10:14 AM,13/Oct/17 8:15 PM,13/Oct/17 8:17 PM,,,0,"발표자료 보충

안드로이드 노드 디버그

웹버그 테스트 어드민 페이지",,shmoon,"안드로이드 사이드 버그 수정

웹사이드 버그 테스트 후 결과 보고 (어드민 페이지 확인 완료)

발표자료 작성작업;12/Oct/17 7:50 PM;shmoon;28800",,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"12/Oct/17 7:51 PM;shmoon;[~shmoon] logged work - 12/Oct/17 10:00 AM - edited
 * Time Spent:1 day 안드로이드 사이드 버그 수정

웹사이드 버그 테스트 후 결과 보고 (어드민 페이지 확인 완료)

발표자료 작성작업",,,
[ToDo] 문성훈 10/11(수),FG-123,11111,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,11/Oct/17 10:51 AM,13/Oct/17 8:15 PM,13/Oct/17 8:17 PM,,,0,"안드로이드 버그 해결하기

자식 리스트뷰 스크롤링

첨부파일 이미지 비트맵 으로 불러올때 못불러오는것 해결하기",,shmoon,"일일보고서 자식 리스트뷰 스크롤문제 해결

비트맵 이미지 불러오기 스캐일 변경으로 문제 해결

 ;11/Oct/17 10:52 AM;shmoon;3600",,,,,28800,25200,3600,12%,28800,25200,3600,,,,,,,,,,,,,,,,,,,,,,,,,,"13/Oct/17 7:55 PM;shmoon;[~shmoon] logged work - 11/Oct/17 10:00 AM
 * Time Spent:1 hour 일일보고서 자식 리스트뷰 스크롤문제 해결

비트맵 이미지 불러오기 스캐일 변경으로 문제 해결

 ",,,
[ToDo] 문성훈 10/10(화),FG-122,11110,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,10/Oct/17 10:12 AM,13/Oct/17 8:15 PM,13/Oct/17 8:15 PM,,,0,"발표자료 준비

팜플렛 자료 준비

발표 스크립트 작성",,shmoon,"발표자료 기본틀 작성완료

참고 스크립트 작성완료

팜플렛 작성완료(보충필요 할듯);10/Oct/17 6:06 PM;shmoon;7200",,,,,28800,21600,7200,25%,28800,21600,7200,,,,,,,,,,,,,,,,,,,,,,,,,,"13/Oct/17 7:55 PM;shmoon;[~shmoon] logged work - 10/Oct/17 6:06 PM
 * Time Spent:2 hours 발표자료 기본틀 작성완료

참고 스크립트 작성완료

팜플렛 작성완료(보충필요 할듯)",,,
[ToDo] 문성훈 09/29(금),FG-120,11108,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,29/Sep/17 11:31 AM,13/Oct/17 8:15 PM,13/Oct/17 8:15 PM,,,0,"안드로이드 디자인 및 UI 작업

노드 버그 발견시 버그 수정",,shmoon,"안드로이드 리스트 유저별 게시글 리스트에서 새로고침시 유저별로 새로고침 되도록

팀원선택 스피너일 때 전체게시글 가져오도록 수정;29/Sep/17 2:45 PM;shmoon;7200","노드 서버 승인요청 버그 수정

계획서 없이 승인요청, 승인 가능 목표매출액 업데이트 데이터 결과 상관 없이 알림 메시지 발행 하도록 변경

반려시에도 메시지 전송 하도록 수정 개발;29/Sep/17 6:53 PM;shmoon;21600",,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Sep/17 6:53 PM;shmoon;[~shmoon] logged work - 29/Sep/17 1:00 PM
 * Time Spent:2 hours 안드로이드 리스트 유저별 게시글 리스트에서 새로고침시 유저별로 새로고침 되도록

팀원선택 스피너일 때 전체게시글 가져오도록 수정
Permalink [Edit|http://192.168.1.7:8181/secure/UpdateWorklog!default.jspa?id=11108&worklogId=10401] [Delete|http://192.168.1.7:8181/secure/DeleteWorklog!default.jspa?id=11108&worklogId=10401]
[~shmoon] logged work - 29/Sep/17 1:00 PM
 * Time Spent:6 hours 노드 서버 승인요청 버그 수정

계획서 없이 승인요청, 승인 가능 목표매출액 업데이트 데이터 결과 상관 없이 알림 메시지 발행 하도록 변경

반려시에도 메시지 전송 하도록 수정 개발",,,
[ToDo] 문성훈 09/28(목),FG-118,11106,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,28/Sep/17 12:25 PM,13/Oct/17 8:15 PM,13/Oct/17 8:15 PM,,,0,"안드로이드 권한 설정 팝업형식으로 허용하기

플로팅버튼 이벤트 처리 보강",,shmoon,"플로팅버튼 이벤트 처리 수정 개발

앱허용설정 간단화;28/Sep/17 1:19 PM;shmoon;7200","안드로이드 보고서 작성 수정 부분 날짜 선택 안 하면 작성 수정 버튼 비활성화

검색기능 UI 수정

키보드 hide show 스피너 선택시 edit text 활성화 그리고 키보드 show 개발;28/Sep/17 5:26 PM;shmoon;7200",,,,28800,14400,14400,50%,28800,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 문성훈 09/27(수),FG-115,11103,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,27/Sep/17 10:06 AM,13/Oct/17 8:15 PM,13/Oct/17 8:15 PM,,,0,안드로이드 ui 개선 및 노드코드 수정,,shmoon,"안드로이드 게시글 리스트 버그 해결

부모 프래그먼트에서 게시글 프래그먼트 선택시 갱신되도록 수정 개발;27/Sep/17 11:06 AM;shmoon;3600","fcm notication 전송시 일일보고서 인덱스번호도 함께 전송

안드로이드에서 어플이 켜져있을 때 노티를 받으면 바로 게시글로 이동

어플이 꺼져있을 때는 어플을 킴;27/Sep/17 3:59 PM;shmoon;7200","admin 모바일 로그인 못하도록 변경

첨부파일 업로드시 디렉토리들 권한 777 설정

 게시글 리스팅 추가적으로 게시글 불러올때 리스트 초기화 되어 리스트뷰 포커스 이동 불가능 했던 버그 해결;27/Sep/17 7:07 PM;shmoon;18000",,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Sep/17 7:27 PM;shmoon;[~shmoon] logged work - 27/Sep/17 10:00 AM
 * Time Spent:1 hour 안드로이드 게시글 리스트 버그 해결

부모 프래그먼트에서 게시글 프래그먼트 선택시 갱신되도록 수정 개발
Permalink [Edit|http://192.168.1.7:8181/secure/UpdateWorklog!default.jspa?id=11103&worklogId=10389] [Delete|http://192.168.1.7:8181/secure/DeleteWorklog!default.jspa?id=11103&worklogId=10389]
[~shmoon] logged work - 27/Sep/17 1:00 PM
 * Time Spent:2 hours fcm notication 전송시 일일보고서 인덱스번호도 함께 전송

안드로이드에서 어플이 켜져있을 때 노티를 받으면 바로 게시글로 이동

어플이 꺼져있을 때는 어플을 킴
Permalink [Edit|http://192.168.1.7:8181/secure/UpdateWorklog!default.jspa?id=11103&worklogId=10396] [Delete|http://192.168.1.7:8181/secure/DeleteWorklog!default.jspa?id=11103&worklogId=10396]
[~shmoon] logged work - 27/Sep/17 2:00 PM - edited
 * Time Spent:5 hours admin 모바일 로그인 못하도록 변경

첨부파일 업로드시 디렉토리들 권한 777 설정

 게시글 리스팅 추가적으로 게시글 불러올때 리스트 초기화 되어 리스트뷰 포커스 이동 불가능 했던 버그 해결",,,
[ToDo] 문성훈 09/26(화),FG-113,11101,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,26/Sep/17 9:51 AM,26/Sep/17 9:17 PM,26/Sep/17 9:17 PM,,,0,"첨부파일 삭제시 노드 thumbnail 삭제

안드로이드 테스트 node forever linux에 설치

UI작업 노트코드 버그 수정

 

 ",,shmoon,"첨부파일 섬네일까지 삭제 노드 서버에서 파일 다운시 원본파일 받을 수 있도록

 ;26/Sep/17 1:49 PM;shmoon;7200","안드로이드 프래그먼트 이동시 게시글 리스트 초기화 되도록 수정

노드 주간, 상담일지 사용자 이름 출력 되도록 수정

 

 ;26/Sep/17 5:48 PM;shmoon;14400",,,,28800,7200,21600,75%,28800,7200,21600,,,,,,,,,,,,,,,,,,,,,,,,,,"26/Sep/17 7:00 PM;shmoon;[~shmoon] logged work - 26/Sep/17 10:00 AM
 * Time Spent:2 hours 첨부파일 섬네일까지 삭제 노드 서버에서 파일 다운시 원본파일 받을 수 있도록

 
Permalink [Edit|http://192.168.1.7:8181/secure/UpdateWorklog!default.jspa?id=11101&worklogId=10385] [Delete|http://192.168.1.7:8181/secure/DeleteWorklog!default.jspa?id=11101&worklogId=10385]
[~shmoon] logged work - 26/Sep/17 1:00 PM
 * Time Spent:4 hours 안드로이드 프래그먼트 이동시 게시글 리스트 초기화 되도록 수정

노드 주간, 상담일지 사용자 이름 출력 되도록 수정",,,
[ToDo] 문성훈 09/25(월),FG-111,11099,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,25/Sep/17 3:32 PM,26/Sep/17 9:17 PM,26/Sep/17 9:17 PM,,,0,"안드로이드 앱 권한설정 사용자가 할 수 있도록 띄워주기

노드 리눅스환경에 맞게 수정

파일 업로드 다운로드 경로 설정 섬네일 디렉토리 생성 후 생성하도록

파일이 그림이면 섬네일로 다운 받을 수 있게 해준다(안드로이드)",,shmoon,"리눅스 리드 서버에 노드 테스트 성공

첨부파일 실제 파일 삭제를 api삭제 요청시 파일도 같이 삭제하도록 디자인

안드로이드 리스트 버그 50%해결 리스트 페이지 실행시 디폴트로 선택을 하도록 변경(다른 프래그먼트 다녀왔을 때 무조건 초기화로 변경 예정)

첨부파일 업로드시 thumbnail 디렉토리 만들고 그 안에 thumbnail 파일 저장 시키도록 개발

첨부파일 다운로드시 그림일때 mime 체크 thumbnail로 다운 받을 수 있게 개발;25/Sep/17 7:49 PM;shmoon;28800",,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"25/Sep/17 7:49 PM;shmoon;Time Spent:1 day 

리눅스 리드 서버에 노드 테스트 성공

첨부파일 실제 파일 삭제를 api삭제 요청시 파일도 같이 삭제하도록 디자인

안드로이드 리스트 버그 50%해결 리스트 페이지 실행시 디폴트로 선택을 하도록 변경(다른 프래그먼트 다녀왔을 때 무조건 초기화로 변경 예정)

첨부파일 업로드시 thumbnail 디렉토리 만들고 그 안에 thumbnail 파일 저장 시키도록 개발

첨부파일 다운로드시 그림일때 mime 체크 thumbnail로 다운 받을 수 있게 개발",,,
[ToDo] 문성훈 09/22(금),FG-106,11093,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,22/Sep/17 10:40 AM,26/Sep/17 9:17 PM,26/Sep/17 9:17 PM,,,0,"안드로이드 테스트 

노드서버 테스트

코드 정리

 

안드로이드 디버그",,shmoon,안드로이드 게시글 없는 유저가 접속했을 때 생기는 버그(리스트 지우는 과정에서 데이터가 없을 때 지우는 문제 해결);22/Sep/17 8:09 PM;shmoon;14400,,,,,28800,14400,14400,50%,28800,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 문성훈 09/21(목),FG-104,11091,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,21/Sep/17 12:37 PM,26/Sep/17 9:17 PM,26/Sep/17 9:17 PM,,,0,"안드로이드 다른기기로 로그인시 이전에 로그인된 기기에는 CRUD작업전에 UID체크를 하여 프로그램을 쓸 수 없도록 만든다. 이전기기에서 로그아웃을 해도 DB에는 데이터 변화없음

노드서버 uid체크 api 개발",,shmoon,"안드로이드 다른기기 로그인시 로그아웃 로직완성

노드서버 api 개발완료;21/Sep/17 3:07 PM;shmoon;18000",,,,,28800,10800,18000,62%,28800,10800,18000,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:40 AM;shmoon;[~shmoon] logged work - 21/Sep/17 10:00 AM
 * Time Spent:5 hours 안드로이드 다른기기 로그인시 로그아웃 로직완성

노드서버 api 개발완료",,,
[ToDo] 문성훈 09/20(수),FG-102,11089,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,20/Sep/17 10:56 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"DB 컬럼 변경내용 적용

새로운 DB에 테스트",,shmoon,"고객리스트 1개로 통합

상담일지 상세보기 쿼리 변경;20/Sep/17 7:01 PM;shmoon;28800",,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 20/Sep/17 10:00 AM
 * Time Spent:1 day 고객리스트 1개로 통합

상담일지 상세보기 쿼리 변경",,,
[ToDo] 문성훈 09/19(화),FG-100,11087,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,19/Sep/17 10:11 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"안드로이드 작업

노드 작업.

리드서버 라이브러리 설치, aws에 라이브러리 설치 및 노드 테스트",,shmoon,"안드로이드 그래프 그래픽 출력 변경

노드사이드 주간계획서에서 보고서 불러올 때 데이터 Read 변경

 원격서버에 sharp 라이브러리 설치 완료;19/Sep/17 6:24 PM;shmoon;25200",,,,,28800,3600,25200,87%,28800,3600,25200,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 19/Sep/17 10:00 AM - edited
 * Time Spent:7 hours 안드로이드 그래프 그래픽 출력 변경

노드사이드 주간계획서에서 보고서 불러올 때 데이터 Read 변경

 원격서버에 sharp 라이브러리 설치 완료",,,
[ToDo] 문성훈 09/18(월),FG-96,11083,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,18/Sep/17 10:00 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"안드로이드 그래프 완성 + 그래프 UI

주간계획서의 일일계획서 목표매출액 수정시 일일보고서들(같은날짜) 목표매출액 수정 조건 추가 필요",,shmoon,"안드로이드 그래프 완성(UI)

팀장 팀전체 그래프값 개별 그래프값 확인가능

유저 자신의 그래프값만 확인 가능

일일보고서 매출목표액값 주간계획서에서 받아옴 미승인인데 미래의 데이터의 경우

주간계획서의 매출목표액이 바뀌면 미래의 보고서들의 매출목표액도 바뀐다( 최초작성도 마찬가지)

 ;18/Sep/17 6:09 PM;shmoon;25200",,,,,28800,3600,25200,87%,28800,3600,25200,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 18/Sep/17 10:00 AM
 * Time Spent:7 hours 안드로이드 그래프 완성(UI)

팀장 팀전체 그래프값 개별 그래프값 확인가능

유저 자신의 그래프값만 확인 가능

일일보고서 매출목표액값 주간계획서에서 받아옴 미승인인데 미래의 데이터의 경우

주간계획서의 매출목표액이 바뀌면 미래의 보고서들의 매출목표액도 바뀐다( 최초작성도 마찬가지)

 ",,,
[ToDo] 문성훈 09/15(금),FG-91,11078,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,15/Sep/17 10:04 AM,22/Sep/17 10:41 AM,19/Oct/17 3:37 PM,,,0,"일일보고서 첨부파일 UI 작업

첨부파일 올릴때 무엇을 올리는지 볼 수 있도록

그래프 데이터 출력 쿼리 만들기",,shmoon,"안드로이드 업로드 기능 완성

일일보고서 작성 된 후 상세보기 화면에서 가능 작성자만이 파일업로드 가능

미승인된 보고서에만 업로드 가능

한번에 최대 5개의 파일 업로드

사용자가 탐색기에서 가져온 파일의 이름을 확인 할 수 있음

 ;15/Sep/17 1:45 PM;shmoon;7200",안드로이드 그래프 작업;15/Sep/17 7:10 PM;shmoon;21600,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/17 10:41 AM;shmoon;[~shmoon] logged work - 15/Sep/17 10:00 AM
 * Time Spent:2 hours 안드로이드 업로드 기능 완성

일일보고서 작성 된 후 상세보기 화면에서 가능 작성자만이 파일업로드 가능

미승인된 보고서에만 업로드 가능

한번에 최대 5개의 파일 업로드

사용자가 탐색기에서 가져온 파일의 이름을 확인 할 수 있음

 ",,,
[ToDo] 문성훈 09/14(목),FG-90,11077,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,14/Sep/17 9:57 AM,15/Sep/17 2:10 PM,19/Oct/17 3:37 PM,,,0,안드로이드와 노드 첨부파일 재개발,,shmoon,파일업로드 개발 완료 섬네일 경로;14/Sep/17 8:19 PM;shmoon;28800,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Sep/17 8:19 PM;shmoon;[~shmoon] logged work - 14/Sep/17 10:19 AM - edited
 * Time Spent:1 day 파일업로드 개발 완료 섬네일 경로",,,
[ToDo] 문성훈 09/13(수),FG-88,11075,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,shmoon,shmoon,shmoon,13/Sep/17 9:55 AM,15/Sep/17 2:10 PM,19/Oct/17 3:37 PM,,,0,안드로이드 그래프 작업,,shmoon,"안드로이드 그래프 기본사항 적용

**UI작업 필요

주간계획서 5주에 해당하는 목표액, 매출액을 서버로 부터 받아와서 그래프로 표현

 

 ;13/Sep/17 2:55 PM;shmoon;14400",,,,,28800,14400,14400,50%,28800,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
